SN,Date,IDD_CALL_TIMES,SMS_RECEIVE_CNT,SMS_SEND_CNT,CALLING_TIMES,Calling_IMEI ,Called_IMEI ,Missed_IDD_calling,CALLING_DURATION,CALLED_DURATION,IDD_CALLING_TIMES,CELL_COUNT,CALLING_CELL_COUNT,CALLED_CELL_COUNT,IDD_SMS_CNT,IS_FRAUD
140,20191223,0,0,0,6,2,6,1,1703,0,0,2,2,0,0,1
141,20191223,0,0,0,4,1,4,1,1109,0,0,6,6,0,0,1
142,20191223,0,0,0,4,1,4,1,759,0,0,5,5,0,0,1
143,20191223,0,0,0,6,2,6,1,1791,0,0,1,1,0,0,1
144,20191223,0,0,0,10,3,10,2,2910,0,0,3,3,0,0,1
145,20191223,0,0,0,4,1,4,1,850,0,0,4,4,0,0,1
146,20191223,0,0,0,12,4,12,2,2970,0,0,10,10,0,0,1
147,20191223,0,0,0,5,2,5,1,959,0,0,3,3,0,0,1
148,20191223,0,0,0,9,3,9,2,1977,0,0,3,3,0,0,1
149,20191223,0,0,0,7,2,7,1,438,0,0,0,0,0,0,1
150,20191223,0,0,0,9,3,9,2,2407,0,0,4,4,0,0,1
151,20191223,0,0,0,10,3,10,2,2221,0,0,3,3,0,0,1
152,20191223,0,0,0,5,2,5,1,1114,0,0,4,4,0,0,1
153,20191223,0,0,0,11,4,11,2,2283,0,0,4,4,0,0,1
154,20191223,0,0,0,8,3,8,1,1609,0,0,4,4,0,0,1
155,20191223,0,0,0,4,1,4,1,554,0,0,2,2,0,0,1
156,20191223,0,0,0,6,2,6,1,1311,0,0,7,7,0,0,1
157,20191223,0,0,0,6,2,6,1,2476,0,0,1,1,0,0,1
158,20191223,0,0,0,8,3,8,1,1867,0,0,4,4,0,0,1
159,20191223,0,0,0,4,1,4,1,770,0,0,2,2,0,0,1
160,20191223,0,0,0,6,2,6,1,1621,0,0,6,6,0,0,1
161,20191223,0,0,0,7,2,7,1,880,0,0,3,3,0,0,1
162,20191223,0,0,0,10,3,10,2,1153,0,0,1,1,0,0,1
163,20191223,0,0,0,12,4,12,2,1879,0,0,2,2,0,0,1
164,20191223,0,0,0,6,2,6,1,1036,0,0,3,3,0,0,1
165,20191223,0,0,0,5,2,5,1,901,0,0,1,1,0,0,1
166,20191223,0,0,0,5,2,5,1,1340,0,0,2,2,0,0,1
167,20191223,0,0,0,14,5,14,2,3073,0,0,4,4,0,0,1
168,20191223,0,0,0,5,2,5,1,1677,0,0,2,2,0,0,1
169,20191223,0,0,0,4,1,4,1,279,0,0,0,0,0,0,1
170,20191223,0,0,0,5,2,5,1,1309,0,0,6,6,0,0,1
171,20191223,0,0,0,6,2,6,1,1139,0,0,5,5,0,0,1
172,20191223,0,0,0,4,1,4,1,780,0,0,4,4,0,0,1
173,20191223,0,0,0,4,1,4,1,777,0,0,2,2,0,0,1
174,20191223,0,0,0,14,5,14,2,1894,0,0,7,7,0,0,1
175,20191223,0,0,0,4,1,4,1,679,0,0,2,2,0,0,1
176,20191223,0,0,0,6,2,6,1,1614,0,0,2,2,0,0,1
177,20191223,0,0,0,6,2,6,1,1544,0,0,3,3,0,0,1
178,20191223,0,0,0,14,5,14,2,2793,0,0,2,2,0,0,1
179,20191223,0,0,0,6,2,6,1,1264,0,0,1,1,0,0,1
180,20191223,0,0,0,21,7,21,3,4583,0,0,4,4,0,0,1
181,20191223,0,0,0,5,2,5,1,1163,0,0,2,2,0,0,1
182,20191223,0,0,0,6,2,6,1,1497,0,0,5,5,0,0,1
183,20191223,0,0,0,4,1,4,1,841,0,0,3,3,0,0,1
184,20191223,0,0,0,4,1,4,1,710,0,0,2,2,0,0,1
185,20191223,0,0,0,11,4,11,2,2364,0,0,5,5,0,0,1
186,20191223,0,0,0,9,3,9,1,1590,0,0,3,3,0,0,1
187,20191223,0,0,0,13,4,13,2,3100,0,0,4,4,0,0,1
188,20191223,0,0,0,9,3,9,1,1219,0,0,5,5,0,0,1
189,20191223,0,0,0,10,3,10,2,1603,0,0,5,5,0,0,1
190,20191223,0,0,0,6,2,6,1,2094,0,0,7,7,0,0,1
191,20191223,0,0,0,6,2,6,1,674,0,0,1,1,0,0,1
192,20191223,0,0,0,4,1,4,1,211,81,0,3,3,0,0,1
193,20191223,0,0,0,7,2,7,1,2380,0,0,5,5,0,0,1
194,20191223,0,0,0,6,2,6,1,1143,0,0,1,1,0,0,1
195,20191223,0,0,0,9,3,9,1,1010,0,0,3,3,0,0,1
196,20191223,0,0,0,5,2,5,1,1616,0,0,2,2,0,0,1
197,20191223,0,0,0,7,2,7,1,2176,0,0,5,5,0,0,1
198,20191223,0,0,0,4,1,4,1,980,0,0,4,4,0,0,1
199,20191223,0,0,0,9,3,9,2,1754,0,0,8,8,0,0,1
200,20191223,0,0,0,7,2,7,1,1791,0,0,1,1,0,0,1
201,20191223,0,0,0,4,1,4,1,784,0,0,4,4,0,0,1
202,20191223,0,0,0,4,1,4,1,1633,0,0,2,2,0,0,1
203,20191223,0,0,0,10,3,10,2,1336,0,0,3,3,0,0,1
204,20191223,0,0,0,6,2,6,1,1034,0,0,2,2,0,0,1
205,20191223,0,0,0,14,5,14,2,2984,0,0,2,2,0,0,1
206,20191223,0,0,0,5,2,5,1,1443,0,0,4,4,0,0,1
207,20191223,0,0,0,8,3,8,1,2010,0,0,2,2,0,0,1
208,20191223,0,0,0,5,2,5,1,829,0,0,2,2,0,0,1
209,20191223,0,0,0,13,4,13,2,3640,0,0,4,4,0,0,1
210,20191223,0,0,0,7,2,7,1,2154,0,0,6,6,0,0,1
211,20191223,0,0,0,13,4,13,2,2917,0,0,7,7,0,0,1
212,20191223,0,0,0,4,1,4,1,1017,0,0,3,3,0,0,1
213,20191223,0,0,0,12,4,12,2,2101,0,0,3,3,0,0,1
214,20191223,0,0,0,6,2,6,1,1731,0,0,2,2,0,0,1
215,20191223,0,0,0,10,3,10,2,1851,0,0,3,3,0,0,1
216,20191223,0,0,0,8,3,8,1,1260,0,0,2,2,0,0,1
217,20191223,0,0,0,6,2,6,1,1776,0,0,3,3,0,0,1
218,20191223,0,0,0,5,2,5,1,806,0,0,6,6,0,0,1
219,20191223,0,0,0,8,3,8,1,2004,0,0,4,4,0,0,1
220,20191223,0,0,0,6,2,6,1,1361,0,0,2,2,0,0,1
221,20191223,0,0,0,8,3,8,1,2024,0,0,3,3,0,0,1
222,20191223,0,0,0,4,1,4,1,761,0,0,5,5,0,0,1
223,20191223,0,0,0,4,1,4,1,994,0,0,2,2,0,0,1
224,20191223,0,0,0,5,2,5,1,1001,0,0,3,3,0,0,1
225,20191223,0,0,0,6,2,6,1,1630,0,0,3,3,0,0,1
226,20191223,0,0,0,8,3,8,1,1456,0,0,2,2,0,0,1
227,20191223,0,0,0,12,4,12,2,2001,0,0,5,5,0,0,1
228,20191223,0,0,0,4,1,4,1,269,0,0,5,5,0,0,1
229,20191223,0,0,0,14,5,14,2,2994,0,0,4,4,0,0,1
230,20191223,0,0,0,8,3,8,1,2419,0,0,5,5,0,0,1
231,20191223,0,0,0,5,2,5,1,1551,0,0,3,3,0,0,1
232,20191223,0,0,0,7,2,7,1,1897,0,0,2,2,0,0,1
233,20191223,0,0,0,10,3,10,2,1254,0,0,3,3,0,0,1
234,20191223,0,0,0,3,1,3,1,929,0,0,5,5,0,0,1
235,20191223,0,0,0,4,1,4,1,469,0,0,0,0,0,0,1
236,20191223,0,0,0,5,2,5,1,1773,0,0,1,1,0,0,1
237,20191223,0,0,0,11,4,11,2,1837,0,0,3,3,0,0,1
238,20191223,0,0,0,7,2,7,1,1583,0,0,4,4,0,0,1
239,20191223,0,0,0,5,2,5,1,1093,0,0,7,7,0,0,1
240,20191223,0,0,0,6,2,6,1,1150,0,0,3,3,0,0,1
241,20191223,0,0,0,5,2,5,1,909,0,0,2,2,0,0,1
242,20191223,0,0,0,6,2,6,1,1571,0,0,3,3,0,0,1
243,20191223,0,0,0,4,1,4,1,1111,0,0,1,1,0,0,1
244,20191223,0,0,0,6,2,6,1,991,0,0,6,6,0,0,1
245,20191223,0,0,0,5,2,5,1,1143,0,0,5,5,0,0,1
246,20191223,0,0,0,10,3,10,2,1570,0,0,3,3,0,0,1
247,20191223,0,0,0,9,3,9,1,2236,0,0,6,6,0,0,1
248,20191223,0,0,0,7,2,7,1,1286,0,0,3,3,0,0,1
249,20191223,0,0,0,4,1,4,1,1334,0,0,1,1,0,0,1
250,20191223,0,0,0,6,2,6,1,1220,0,0,5,5,0,0,1
251,20191223,0,0,0,6,2,6,1,1709,0,0,4,4,0,0,1
252,20191223,0,0,0,4,1,4,1,1021,0,0,4,4,0,0,1
253,20191223,0,0,0,6,2,6,1,969,0,0,3,3,0,0,1
254,20191223,0,0,0,4,1,4,1,341,0,0,0,0,0,0,1
255,20191223,0,0,0,7,2,7,1,1281,0,0,7,7,0,0,1
256,20191223,1,0,1,6,2,6,1,1149,0,1,5,5,0,1,1
257,20191223,0,0,0,6,2,6,1,2260,0,0,2,2,0,0,1
258,20191223,0,0,0,10,3,10,2,1610,0,0,2,2,0,0,1
259,20191223,0,0,0,5,2,5,1,589,0,0,4,4,0,0,1
260,20191223,0,0,0,7,2,7,1,1860,0,0,1,1,0,0,1
261,20191223,0,0,0,7,2,7,1,1699,0,0,4,4,0,0,1
262,20191223,0,0,0,4,1,4,1,400,0,0,0,0,0,0,1
263,20191223,0,0,0,5,2,5,1,1799,0,0,2,2,0,0,1
264,20191223,0,0,0,6,2,6,1,1507,0,0,4,4,0,0,1
265,20191223,0,0,0,10,3,10,2,2129,0,0,8,8,0,0,1
266,20191223,0,0,0,8,3,8,1,1717,0,0,3,3,0,0,1
267,20191223,0,0,0,5,2,5,1,921,0,0,3,3,0,0,1
268,20191223,0,0,0,11,4,11,2,1347,0,0,7,7,0,0,1
269,20191223,0,0,0,4,1,4,1,1537,0,0,2,2,0,0,1
270,20191223,0,0,0,7,2,7,1,1874,0,0,3,3,0,0,1
271,20191223,0,0,0,8,3,8,1,1126,0,0,1,1,0,0,1
272,20191223,0,0,0,4,1,4,1,729,0,0,7,7,0,0,1
273,20191223,0,0,0,6,2,6,1,840,0,0,4,4,0,0,1
274,20191223,0,0,0,5,2,5,1,611,0,0,1,1,0,0,1
275,20191223,0,0,0,9,3,9,2,1539,0,0,4,4,0,0,1
276,20191223,0,0,0,10,3,10,2,2111,0,0,5,5,0,0,1
277,20191223,0,0,0,6,2,6,1,1726,0,0,4,4,0,0,1
278,20191223,0,0,0,13,4,13,2,2674,0,0,9,9,0,0,1
279,20191223,0,0,0,10,3,10,2,2399,0,0,6,6,0,0,1
280,20191223,0,0,0,4,1,4,1,1261,0,0,3,3,0,0,1
281,20191223,0,0,0,4,1,4,1,511,0,0,4,4,0,0,1
282,20191223,0,0,0,7,2,7,1,987,0,0,5,5,0,0,1
283,20191223,0,0,0,9,3,9,2,1867,0,0,3,3,0,0,1
284,20191223,0,0,0,6,2,6,1,1049,0,0,5,5,0,0,1
285,20191223,0,0,0,4,1,4,1,1047,0,0,2,2,0,0,1
286,20191223,0,0,0,7,2,7,1,1266,0,0,2,2,0,0,1
287,20191223,0,0,0,7,2,7,1,1637,0,0,3,3,0,0,1
288,20191223,0,0,0,10,3,10,2,1291,0,0,5,5,0,0,1
289,20191223,0,0,0,6,2,6,1,1450,0,0,2,2,0,0,1
290,20191223,0,0,0,9,3,9,1,1359,0,0,3,3,0,0,1
291,20191223,0,0,0,4,1,4,1,329,0,0,0,0,0,0,1
292,20191223,0,0,0,9,3,9,2,3087,0,0,6,6,0,0,1
293,20191223,0,0,0,5,2,5,1,1171,0,0,2,2,0,0,1
294,20191223,0,0,0,4,1,4,1,314,0,0,2,2,0,0,1
295,20191223,0,0,0,5,2,5,1,941,0,0,4,4,0,0,1
296,20191223,0,0,0,6,2,6,1,687,0,0,4,4,0,0,1
297,20191223,0,0,0,4,1,4,1,1070,0,0,3,3,0,0,1
298,20191223,0,0,0,5,2,5,1,953,0,0,4,4,0,0,1
299,20191223,0,0,0,6,2,6,1,1300,0,0,2,2,0,0,1
300,20191223,0,0,0,5,2,5,1,986,0,0,1,1,0,0,1
301,20191223,0,0,0,5,2,5,1,1051,0,0,1,1,0,0,1
302,20191223,0,0,0,4,1,4,1,371,0,0,2,2,0,0,1
303,20191223,0,0,0,7,2,7,1,1826,0,0,1,1,0,0,1
304,20191223,0,0,0,14,5,14,2,3176,0,0,3,3,0,0,1
305,20191223,0,0,0,8,3,8,1,1141,0,0,2,2,0,0,1
306,20191223,0,0,0,5,2,5,1,1963,0,0,3,3,0,0,1
307,20191223,0,0,0,5,2,5,1,1093,0,0,3,3,0,0,1
308,20191223,0,0,0,6,2,6,1,1301,0,0,2,2,0,0,1
309,20191223,0,0,0,4,1,4,1,800,0,0,2,2,0,0,1
310,20191223,0,0,0,4,1,4,1,643,0,0,4,4,0,0,1
311,20191223,0,0,0,4,1,4,1,926,0,0,2,2,0,0,1
312,20191223,0,0,0,9,3,9,2,1797,0,0,2,2,0,0,1
313,20191223,0,0,0,3,1,3,1,1211,0,0,1,1,0,0,1
314,20191223,0,0,0,4,1,4,1,1510,0,0,5,5,0,0,1
315,20191223,0,0,0,8,3,8,1,714,0,0,1,1,0,0,1
316,20191223,0,0,0,4,1,4,1,1106,0,0,3,3,0,0,1
317,20191223,0,0,0,7,2,7,1,1296,0,0,2,2,0,0,1
318,20191223,1,0,1,4,1,4,1,774,0,1,4,4,0,1,1
319,20191223,0,0,0,10,3,10,2,1749,0,0,4,4,0,0,1
320,20191223,0,0,0,5,2,5,1,289,0,0,0,0,0,0,1
321,20191223,0,0,0,6,2,6,1,1021,0,0,2,2,0,0,1
322,20191223,0,0,0,4,1,4,1,494,0,0,5,5,0,0,1
323,20191223,0,0,0,8,3,8,1,2416,0,0,4,4,0,0,1
324,20191223,0,0,0,10,3,10,2,2100,0,0,3,3,0,0,1
325,20191223,0,0,0,5,2,5,1,1887,0,0,2,2,0,0,1
326,20191223,0,0,0,11,4,11,2,1963,0,0,6,6,0,0,1
327,20191223,0,0,0,11,4,11,2,2283,0,0,3,3,0,0,1
328,20191223,0,0,0,11,4,11,2,1983,0,0,6,6,0,0,1
329,20191223,0,0,0,9,3,9,1,1241,0,0,6,6,0,0,1
330,20191223,0,0,0,9,3,9,1,1414,0,0,3,3,0,0,1
331,20191223,0,0,0,7,2,7,1,1996,0,0,2,2,0,0,1
